Date,Operator,Department,Product_Dimension,Temperature,Pressure,Defect_Count,Pass_Fail,Customer_Satisfaction,Process_Time
2024-01-01,John,Assembly,4.95,72.5,150.2,2,Pass,8.5,12.3
2024-01-02,Sarah,Assembly,5.02,73.1,149.8,0,Pass,9.1,11.8
2024-01-03,Mike,Quality,4.98,72.8,150.5,1,Pass,8.8,12.1
2024-01-04,John,Assembly,5.05,74.2,148.9,3,Fail,7.2,13.5
2024-01-05,Lisa,Quality,4.96,72.9,150.1,0,Pass,9.3,11.9
2024-01-06,Sarah,Assembly,5.01,73.5,149.6,1,Pass,8.9,12.0
2024-01-07,Mike,Quality,4.99,72.7,150.3,0,Pass,9.0,12.2
2024-01-08,John,Assembly,5.03,73.8,149.2,2,Pass,8.6,12.4
2024-01-09,Lisa,Quality,4.97,72.6,150.4,1,Pass,8.7,12.1
2024-01-10,Sarah,Assembly,5.00,73.2,149.9,0,Pass,9.2,11.7
2024-01-11,Mike,Quality,4.94,72.4,150.6,2,Pass,8.4,12.6
2024-01-12,John,Assembly,5.04,74.0,149.1,3,Fail,7.5,13.2
2024-01-13,Lisa,Quality,4.98,72.8,150.2,0,Pass,9.1,12.0
2024-01-14,Sarah,Assembly,5.01,73.3,149.7,1,Pass,8.8,12.3
2024-01-15,Mike,Quality,4.96,72.5,150.5,1,Pass,8.9,12.1
2024-01-16,John,Assembly,5.06,74.5,148.8,4,Fail,6.8,14.1
2024-01-17,Lisa,Quality,4.99,72.9,150.0,0,Pass,9.4,11.8
2024-01-18,Sarah,Assembly,5.02,73.4,149.5,1,Pass,8.7,12.2
2024-01-19,Mike,Quality,4.95,72.3,150.7,2,Pass,8.5,12.5
2024-01-20,John,Assembly,5.03,73.9,149.3,2,Pass,8.6,12.4
2024-01-21,Lisa,Quality,4.97,72.7,150.1,1,Pass,8.8,12.0
2024-01-22,Sarah,Assembly,5.00,73.1,149.8,0,Pass,9.0,11.9
2024-01-23,Mike,Quality,4.98,72.6,150.4,1,Pass,8.9,12.1
2024-01-24,John,Assembly,5.05,74.1,149.0,3,Fail,7.3,13.3
2024-01-25,Lisa,Quality,4.96,72.8,150.2,0,Pass,9.2,12.0
2024-01-26,Sarah,Assembly,5.01,73.2,149.6,1,Pass,8.8,12.2
2024-01-27,Mike,Quality,4.99,72.5,150.5,1,Pass,8.7,12.1
2024-01-28,John,Assembly,5.04,73.7,149.4,2,Pass,8.4,12.5
2024-01-29,Lisa,Quality,4.97,72.9,150.0,0,Pass,9.1,11.8
2024-01-30,Sarah,Assembly,5.02,73.3,149.7,1,Pass,8.9,12.3